,country,year,co2,AverageTemperature,population,share_global_co2,AverageTemperatureUncertainty,gdp,HDI
0,Afghanistan,1950,0.084,25.083,7752117.0,0.0,0.238,9421400000.0,0.04
1,Afghanistan,1955,0.154,24.112,8270992.0,0.0,0.606,11078186000.0,0.05
2,Afghanistan,1960,0.414,25.436,8996967.0,0.0,0.39,13033254000.0,0.06
3,Afghanistan,1965,1.007,24.165,9956318.0,0.01,0.434,14187420000.0,0.07
4,Afghanistan,1970,1.67,25.226,11173654.0,0.01,0.287,15812232000.0,0.09
5,Afghanistan,1975,2.121,24.978,12689164.0,0.01,0.409,15177768000.0,0.09
6,Afghanistan,1980,1.756,25.502,13356500.0,0.01,0.392,15329836000.0,0.11
7,Afghanistan,1985,3.501,26.424,11938204.0,0.02,0.377,17108480000.0,0.11
8,Afghanistan,1990,2.603,26.34,12412311.0,0.01,0.289,13065984000.0,0.11
9,Afghanistan,1995,1.23,25.837,18110662.0,0.01,0.278,12307526078.0,0.12
10,Afghanistan,2000,0.758,25.451,20779957.0,0.0,0.487,11283793214.7,0.12
11,Afghanistan,2005,1.303,25.745,25654274.0,0.0,0.6859999999999999,25397687313.5,0.16
12,Afghanistan,2007,2.269,26.219,27100542.0,0.01,0.263,34507529622.9,0.16
13,Afghanistan,2010,8.398,25.92,29185511.0,0.03,0.266,47399424663.6,0.18
14,Albania,1933,0.007,18.046000000000006,1032142.0,0.0,0.501,,0.09
15,Albania,1938,0.348,21.017000000000003,1086421.0,0.01,0.448,,0.12
16,Albania,1950,0.297,21.372,1263164.0,0.0,0.376,1958540976.0,0.23
17,Albania,1955,0.663,19.994,1419991.0,0.01,0.25,2620052648.0,0.24
18,Albania,1960,2.023,19.981,1636091.0,0.02,0.369,3754262682.0,0.27
19,Albania,1965,2.173,19.943,1896175.0,0.02,0.632,5029350840.0,0.3
20,Albania,1970,3.741,19.906,2150704.0,0.03,0.308,6888218728.0,0.34
21,Albania,1975,4.591,19.214,2411733.0,0.03,0.204,8761643092.0,0.37
22,Albania,1980,5.166,18.806,2682697.0,0.03,0.409,9993752292.0,0.37
23,Albania,1985,7.874,19.503,2969671.0,0.04,0.452,11371456662.0,0.38
24,Albania,1990,5.445,20.131,3286070.0,0.02,0.303,12947848774.0,0.39
25,Albania,1995,2.066,20.611,3112923.0,0.01,0.274,11600734290.136,0.38
26,Albania,2000,3.004,21.736,3129246.0,0.01,0.3670000000000001,15214264324.586,0.42
27,Albania,2005,4.199,20.165000000000006,3086810.0,0.01,0.297,20781075931.876,0.46
28,Albania,2007,3.829,22.367,3033993.0,0.01,0.383,23574646689.248,0.51
29,Albania,2010,4.448,20.632,2948029.0,0.01,0.355,27598267513.893,0.53
30,Algeria,1925,0.033,30.969,6054766.0,0.0,0.611,,0.08
31,Algeria,1929,0.08,30.547,6336013.0,0.0,0.677,,0.08
32,Algeria,1933,0.121,30.715,6744404.0,0.0,0.534,,0.08
33,Algeria,1938,0.033,31.752,7362298.0,0.0,0.375,,0.08
34,Algeria,1950,3.784,32.644,8872250.0,0.06,0.521,19350554368.0,0.11
35,Algeria,1955,4.607,31.907,9774280.0,0.06,0.35,22665782853.0,0.13
