,country,year,co2,AverageTemperature,population,share_global_co2,AverageTemperatureUncertainty,gdp,HDI,LandMaxTemperature,LandMinTemperature
0,Afghanistan,1950,0.084,25.083,7752117.0,0.0,0.238,9421400000.0,0.04,14.17375,2.578583333333333
1,Albania,1950,0.297,21.372,1263164.0,0.0,0.376,1958540976.0,0.23,14.17375,2.578583333333333
2,Algeria,1950,3.784,32.644,8872250.0,0.06,0.521,19350554368.0,0.11,14.17375,2.578583333333333
3,Angola,1950,0.187,18.854,4548021.0,0.0,0.737,6905243709.0,0.04,14.17375,2.578583333333333
4,Argentina,1950,29.921,8.908,17037910.0,0.5,0.252,136328020864.0,0.34,14.17375,2.578583333333333
5,Australia,1950,54.739,14.243,8177348.0,0.91,0.148,97678586655.0,0.47,14.17375,2.578583333333333
6,Austria,1950,20.894,16.592,6936442.0,0.35,0.4,40965635700.0,0.42,14.17375,2.578583333333333
7,Bahamas,1950,0.055,27.557,79090.0,0.0,0.238,,0.34,14.17375,2.578583333333333
8,Bahrain,1950,1.381,33.040000000000006,115612.0,0.02,0.345,385173360.0,0.15,14.17375,2.578583333333333
9,Bangladesh,1950,0.993,28.217,37894671.0,0.02,0.178,39301175004.0,0.09,14.17375,2.578583333333333
10,Barbados,1950,0.073,26.803,210990.0,0.0,0.255,715290000.0,0.31,14.17375,2.578583333333333
11,Belgium,1950,76.2,18.351,8637521.0,1.27,0.362,75214346514.0,0.39,14.17375,2.578583333333333
12,Belize,1950,0.018,26.604,68915.0,0.0,0.425,,0.27,14.17375,2.578583333333333
13,Bolivia,1950,0.494,18.027,3081836.0,0.01,0.62,8328510308.0,0.14,14.17375,2.578583333333333
14,Brazil,1950,19.659,23.481,53974728.0,0.33,0.33,119498715700.0,0.19,14.17375,2.578583333333333
15,Bulgaria,1950,7.498,19.371,7250996.0,0.12,0.382,19083316000.0,0.3,14.17375,2.578583333333333
16,Burundi,1950,0.009,19.692,2308927.0,0.0,0.395,1405700590.0,0.06,14.17375,2.578583333333333
17,Cameroon,1950,0.139,24.876,4307021.0,0.0,0.348,5229722370.0,0.08,14.17375,2.578583333333333
18,Canada,1950,154.134,8.949,13733398.0,2.57,0.255,162840746484.0,0.47,14.17375,2.578583333333333
19,Cape Verde,1950,0.103,24.532,178064.0,0.0,0.242,146876000.0,0.11,14.17375,2.578583333333333
20,Chile,1950,8.451,5.345,6598518.0,0.14,0.248,35814098040.0,0.28,14.17375,2.578583333333333
21,China,1950,78.835,17.358999999999998,554419269.0,1.31,0.193,436905185000.0,0.12,14.17375,2.578583333333333
22,Colombia,1950,7.498,24.087,11981576.0,0.12,0.359,39782570256.0,0.2,14.17375,2.578583333333333
23,Costa Rica,1950,0.286,25.549,945683.0,0.0,0.244,2712786678.0,0.26,14.17375,2.578583333333333
24,Cuba,1950,5.605,27.084,5919989.0,0.09,0.227,15260830000.0,0.28,14.17375,2.578583333333333
25,Cyprus,1950,0.267,23.962,494018.0,0.0,0.315,1425190000.0,0.29,14.17375,2.578583333333333
26,Denmark,1950,21.988,-3.022,4268281.0,0.37,0.574,47267157000.0,0.44,14.17375,2.578583333333333
27,Djibouti,1950,0.011,31.595,62000.0,0.0,0.391,273261000.0,0.08,14.17375,2.578583333333333
28,Dominican Republic,1950,0.348,26.411,2364649.0,0.01,0.194,3851808616.0,0.16,14.17375,2.578583333333333
29,Ecuador,1950,0.74,20.709000000000003,3470160.0,0.01,0.465,10008766350.0,0.19,14.17375,2.578583333333333
30,Egypt,1950,10.233,28.84,20451988.0,0.17,0.428,30757264584.728,0.13,14.17375,2.578583333333333
31,El Salvador,1950,0.267,25.095,2199903.0,0.0,0.253,4607025000.0,0.16,14.17375,2.578583333333333
32,Equatorial Guinea,1950,0.011,24.99,225530.0,0.0,0.139,168167000.0,0.1,14.17375,2.578583333333333
33,Eritrea,1950,,29.886,822347.0,,0.591,,0.05,14.17375,2.578583333333333
34,Ethiopia,1950,0.088,23.184,18128030.0,0.0,0.703,12816445297.44,0.04,14.17375,2.578583333333333
35,Finland,1950,6.545,13.069,4008292.0,0.11,0.248,27176333100.0,0.42,14.17375,2.578583333333333
36,France,1950,202.429,19.878,41833873.0,3.37,0.277,351453788000.0,0.41,14.17375,2.578583333333333
37,Gambia,1950,0.015,29.616,304895.0,0.0,0.253,266122000.0,0.06,14.17375,2.578583333333333
38,Germany,1950,510.682,17.617,69966252.0,8.51,0.187,422965102392.0,0.43,14.17375,2.578583333333333
39,Ghana,1950,0.638,26.281,5036151.0,0.01,0.183,9471847752.0,0.12,14.17375,2.578583333333333
40,Greece,1950,4.128,22.843000000000004,7668792.0,0.07,0.328,23091517456.0,0.29,14.17375,2.578583333333333
41,Guatemala,1950,0.619,24.374,3114956.0,0.01,0.343,9865907248.0,0.14,14.17375,2.578583333333333
42,Guyana,1950,0.26,25.359,406559.0,0.0,0.212,,0.24,14.17375,2.578583333333333
43,Haiti,1950,0.114,27.24,3221270.0,0.0,0.199,5543630000.0,0.09,14.17375,2.578583333333333
44,Honduras,1950,0.3,25.363000000000003,1546719.0,0.01,0.272,2888660046.0,0.15,14.17375,2.578583333333333
45,Hong Kong,1950,1.319,26.846,1974002.0,0.02,0.358,8001618799.252,0.23,14.17375,2.578583333333333
46,Hungary,1950,18.39,20.178,9337718.0,0.31,0.45,36913114000.0,0.35,14.17375,2.578583333333333
47,India,1950,61.177,29.23,376325200.0,1.02,0.165,354333000000.0,0.11,14.17375,2.578583333333333
48,Indonesia,1950,9.831,26.031,69543321.0,0.16,0.267,105742754470.4,0.1,14.17375,2.578583333333333
49,Iran,1950,84.118,27.088,17119262.0,1.4,0.345,44850894000.0,0.12,14.17375,2.578583333333333
50,Iraq,1950,1.649,30.533,5719183.0,0.03,0.49,11225325082.0,0.11,14.17375,2.578583333333333
51,Ireland,1950,9.726,14.565,2912682.0,0.16,0.304,16308451072.0,0.4,14.17375,2.578583333333333
52,Israel,1950,1.669,24.885,1257968.0,0.03,0.414,5774728190.0,0.32,14.17375,2.578583333333333
53,Italy,1950,41.431,21.398000000000003,46598599.0,0.69,0.299,262940110000.0,0.33,14.17375,2.578583333333333
54,Jamaica,1950,0.271,26.871,1402903.0,0.0,0.325,2928323250.0,0.26,14.17375,2.578583333333333
55,Japan,1950,102.541,19.101,82802084.0,1.71,0.181,256610910000.0,0.36,14.17375,2.578583333333333
56,Jordan,1950,0.172,26.081,481319.0,0.0,0.597,1487884354.0,0.13,14.17375,2.578583333333333
57,Kenya,1950,0.909,23.048,6076757.0,0.02,0.74,6353788992.0,0.11,14.17375,2.578583333333333
58,Kuwait,1950,0.385,33.883,153103.0,0.01,0.764,6664091994.0,0.19,14.17375,2.578583333333333
59,Lebanon,1950,1.512,23.017,1334617.0,0.03,0.397,5281524160.0,0.23,14.17375,2.578583333333333
60,Liberia,1950,0.048,25.203000000000003,930022.0,0.0,0.349,2596424000.0,0.08,14.17375,2.578583333333333
61,Libya,1950,0.143,29.196,1124519.0,0.0,0.765,596009100.0,0.11,14.17375,2.578583333333333
62,Madagascar,1950,0.304,19.739,4083548.0,0.01,0.4320000000000001,7004582492.0,0.12,14.17375,2.578583333333333
63,Malawi,1950,0.235,17.489,2953871.0,0.0,0.152,1453365600.0,0.07,14.17375,2.578583333333333
64,Malaysia,1950,3.655,26.464,6109902.0,0.06,0.204,15987990515.0,0.18,14.17375,2.578583333333333
65,Mauritius,1950,0.202,21.963,493258.0,0.0,0.887,1897166340.0,0.21,14.17375,2.578583333333333
66,Mexico,1950,30.508,25.1,27944671.0,0.51,0.193,99982981800.0,0.21,14.17375,2.578583333333333
67,Morocco,1950,2.56,24.078000000000007,8985986.0,0.04,0.484,21667307496.0,0.1,14.17375,2.578583333333333
68,Mozambique,1950,0.901,19.744,5958982.0,0.02,0.291,11288300058.0,0.06,14.17375,2.578583333333333
69,Nepal,1950,0.026,21.074,8483322.0,0.0,0.265,7209980000.0,0.04,14.17375,2.578583333333333
70,Netherlands,1950,51.286,17.495,10042051.0,0.85,0.204,96665091066.0,0.48,14.17375,2.578583333333333
71,New Zealand,1950,8.569,6.155,1908011.0,0.14,0.375,25722110490.0,0.49,14.17375,2.578583333333333
72,Nicaragua,1950,0.19,26.158,1294994.0,0.0,0.255,2816370000.0,0.15,14.17375,2.578583333333333
